# uRwell 2nd prototype - geometry of the 31 HV sections
# Extracted with extract_section_geometry.py from
#   /home/rafopar/work/CLAS12/uRWell/Docs/2ndPrototype/DFS3381_export_v2-18-12-2024/DFS3381_activearea.dxf
# Units: mm, origin at the center of the active area,
# +x = right side of DFS3381_TOP.pdf (HV side of sections 1-16).
# Numbering: 1 ... 16 from the right edge inwards (16 = central
# section), 17 ... 31 from the left edge inwards (31 next to 16).
# Format:  'SECTION <n> <n vertices>' followed by the <x y> vertices
# of the closed polygon (last vertex is NOT repeated).
SECTION 1 29
     -347.4075    -260.2425
SECTION 25 30
     -306.4075     234.2444
     -306.4041     234.2700
     -306.3993     234.2816
     -306.3916     234.2916
     -306.3816     234.2993
     -306.3700     234.3041
     -306.3444     234.3075
     -286.1575     234.3075
     -266.6556     234.3075
     -266.6300     234.3041
     -266.6184     234.2993
     -266.6084     234.2917
     -266.6007     234.2817
     -266.5959     234.2700
     -266.5925     234.2444
     -266.5925    -260.2425
     -266.5959    -260.2681
     -266.6007    -260.2797
     -266.6084    -260.2897
     -266.6184    -260.2974
     -266.6300    -260.3022
     -266.6556    -260.3055
     -286.1575    -260.3055
     -306.3444    -260.3055
     -306.3700    -260.3022
     -306.3816    -260.2973
     -306.3916    -260.2897
     -306.3993    -260.2797
     -306.4041    -260.2680
     -306.4075    -260.2425
SECTION 26 30
     -265.4075     234.2444
     -265.4041     234.2700
     -265.3993     234.2816
     -265.3916     234.2916
     -265.3816     234.2993
     -265.3700     234.3041
     -265.3444     234.3075
     -245.1575     234.3075
     -225.6556     234.3075
     -225.6300     234.3041
     -225.6184     234.2993
     -225.6084     234.2917
     -225.6007     234.2817
     -225.5959     234.2700
     -225.5925     234.2444
     -225.5925    -260.2425
     -225.5959    -260.2681
     -225.6007    -260.2797
     -225.6084    -260.2897
     -225.6184    -260.2974
     -225.6300    -260.3022
     -225.6556    -260.3055
     -245.1575    -260.3055
     -265.3444    -260.3055
     -265.3700    -260.3022
     -265.3816    -260.2973
     -265.3916    -260.2897
     -265.3993    -260.2797
     -265.4041    -260.2680
     -265.4075    -260.2425
SECTION 27 30
     -224.4075     234.2444
     -224.4041     234.2700
     -224.3993     234.2816
     -224.3916     234.2916
     -224.3816     234.2993
     -224.3700     234.3041
     -224.3444     234.3075
     -204.1575     234.3075
     -184.6556     234.3075
     -184.6300     234.3041
     -184.6184     234.2993
     -184.6084     234.2917
     -184.6007     234.2817
     -184.5959     234.2700
     -184.5925     234.2444
     -184.5925    -260.2425
     -184.5959    -260.2681
     -184.6007    -260.2797
     -184.6084    -260.2897
     -184.6184    -260.2974
     -184.6300    -260.3022
     -184.6556    -260.3055
     -204.1575    -260.3055
     -224.3444    -260.3055
     -224.3700    -260.3022
     -224.3816    -260.2973
     -224.3916    -260.2897
     -224.3993    -260.2797
     -224.4041    -260.2680
     -224.4075    -260.2425
SECTION 28 30
     -183.4075     234.2444
     -183.4041     234.2700
     -183.3993     234.2816
     -183.3916     234.2916
     -183.3816     234.2993
     -183.3700     234.3041
     -183.3444     234.3075
     -163.1575     234.3075
     -143.6556     234.3075
     -143.6300     234.3041
     -143.6184     234.2993
     -143.6084     234.2917
     -143.6007     234.2817
     -143.5959     234.2700
     -143.5925     234.2444
     -143.5925    -260.2425
     -143.5959    -260.2681
     -143.6007    -260.2797
     -143.6084    -260.2897
     -143.6184    -260.2974
     -143.6300    -260.3022
     -143.6556    -260.3055
     -163.1575    -260.3055
     -183.3444    -260.3055
     -183.3700    -260.3022
     -183.3816    -260.2973
     -183.3916    -260.2897
     -183.3993    -260.2797
     -183.4041    -260.2680
     -183.4075    -260.2425
SECTION 29 30
     -142.4075     234.2444
     -142.4041     234.2700
     -142.3993     234.2816
     -142.3916     234.2916
     -142.3816     234.2993
     -142.3700     234.3041
     -142.3444     234.3075
     -122.1575     234.3075
     -102.6556     234.3075
     -102.6300     234.3041
     -102.6184     234.2993
     -102.6084     234.2917
     -102.6007     234.2817
     -102.5959     234.2700
     -102.5925     234.2444
     -102.5925    -260.2425
     -102.5959    -260.2681
     -102.6007    -260.2797
     -102.6084    -260.2897
     -102.6184    -260.2974
     -102.6300    -260.3022
     -102.6556    -260.3055
     -122.1575    -260.3055
     -142.3444    -260.3055
     -142.3700    -260.3022
     -142.3816    -260.2973
     -142.3916    -260.2897
     -142.3993    -260.2797
     -142.4041    -260.2680
     -142.4075    -260.2425
SECTION 30 30
     -101.4075     234.2444
     -101.4041     234.2700
     -101.3993     234.2816
     -101.3916     234.2916
     -101.3816     234.2993
     -101.3700     234.3041
     -101.3444     234.3075
      -81.1575     234.3075
      -61.6556     234.3075
      -61.6300     234.3041
      -61.6184     234.2993
      -61.6084     234.2917
      -61.6007     234.2817
      -61.5959     234.2700
      -61.5925     234.2444
      -61.5925    -260.2425
      -61.5959    -260.2681
      -61.6007    -260.2797
      -61.6084    -260.2897
      -61.6184    -260.2974
      -61.6300    -260.3022
      -61.6556    -260.3055
      -81.1575    -260.3055
     -101.3444    -260.3055
     -101.3700    -260.3022
     -101.3816    -260.2973
     -101.3916    -260.2897
     -101.3993    -260.2797
     -101.4041    -260.2680
     -101.4075    -260.2425
SECTION 31 30
      -60.4075     234.2444
      -60.4041     234.2700
      -60.3993     234.2816
      -60.3916     234.2916
      -60.3816     234.2993
      -60.3700     234.3041
      -60.3444     234.3075
      -40.1575     234.3075
      -20.6556     234.3075
      -20.6300     234.3041
      -20.6184     234.2993
      -20.6084     234.2917
      -20.6007     234.2817
      -20.5959     234.2700
      -20.5925     234.2444
      -20.5925    -260.2425
      -20.5959    -260.2681
      -20.6007    -260.2797
      -20.6084    -260.2897
      -20.6184    -260.2974
      -20.6300    -260.3022
      -20.6556    -260.3055
      -40.1575    -260.3055
      -60.3444    -260.3055
      -60.3700    -260.3022
      -60.3816    -260.2973
      -60.3916    -260.2897
      -60.3993    -260.2797
      -60.4041    -260.2680
      -60.4075    -260.2425
